school_id,school,school_mascot,abbreviation,conference_id,division,classification,color,alternate_color,logo,stadium_name,school_city,school_state,stadium_latitude,stadium_longitude,stadium_elevation,stadium_capacity,stadium_grass,stadium_dome
24,Stanford,Cardinal,STAN,1,,fbs,#8c1515,#ffffff,https://cdn.collegefootballdata.com/logos/500/24.png,Stanford Stadium,Stanford,CA,37.4345556,-122.1611271,18.38425636,50424,TRUE,FALSE
25,California,Golden Bears,CAL,1,,fbs,#041e42,#ffc72c,https://cdn.collegefootballdata.com/logos/500/25.png,California Memorial Stadium,Berkeley,CA,37.8710434,-122.2507729,125.3108063,62467,FALSE,FALSE
52,Florida State,Seminoles,FSU,1,,fbs,#782f40,#ceb888,https://cdn.collegefootballdata.com/logos/500/52.png,Doak Campbell Stadium,Tallahassee,FL,30.4381692,-84.3044032,19.55942535,67277,TRUE,FALSE
59,Georgia Tech,Yellow Jackets,GT,1,,fbs,#b3a369,#ffffff,https://cdn.collegefootballdata.com/logos/500/59.png,Bobby Dodd Stadium,Atlanta,GA,33.7724449,-84.3928054,279.300415,55000,FALSE,FALSE
97,Louisville,Cardinals,LOU,1,,fbs,#c9001f,#000000,https://cdn.collegefootballdata.com/logos/500/97.png,L&N Federal Credit Union Stadium,Louisville,KY,38.2057621,-85.7588141,138.5615997,60000,FALSE,FALSE
103,Boston College,Eagles,BC,1,,fbs,#8c2232,#dbcca6,https://cdn.collegefootballdata.com/logos/500/103.png,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,42.335104,-71.1664413,39.82634354,44500,FALSE,FALSE
150,Duke,Blue Devils,DUKE,1,,fbs,#00539b,#ffffff,https://cdn.collegefootballdata.com/logos/500/150.png,Wallace Wade Stadium,Durham,NC,35.9953688,-78.9417564,103.0028152,40004,TRUE,FALSE
152,NC State,Wolfpack,NCSU,1,,fbs,#cc0000,#ffffff,https://cdn.collegefootballdata.com/logos/500/152.png,Carter-Finley Stadium,Raleigh,NC,35.8008001,-78.7195655,117.0089951,58000,TRUE,FALSE
153,North Carolina,Tar Heels,UNC,1,,fbs,#7bafd4,#13294b,https://cdn.collegefootballdata.com/logos/500/153.png,Kenan Stadium,Chapel Hill,NC,35.9069294,-79.0478889,127.7569809,50500,FALSE,FALSE
154,Wake Forest,Demon Deacons,WAKE,1,,fbs,#ceb888,#2c2a29,https://cdn.collegefootballdata.com/logos/500/154.png,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,36.1305507,-80.2545851,283.548584,31500,FALSE,FALSE
